Year,Count,MaxMag,MeanMag,CountM6
1907,4,7.6,7.275,4
1909,1,7.0,7.0,1
1910,1,7.5,7.5,1
1911,2,7.7,7.25,2
1912,1,7.5,7.5,1
1913,1,7.9,7.9,1
1915,2,7.0,6.85,2
1918,2,7.5,7.25,2
1919,3,7.2,6.7,3
1920,1,6.7,6.7,1
1921,3,7.5,6.6000000000000005,3
1922,2,6.7,5.85,1
1923,4,7.2,6.925,4
1924,2,8.3,7.800000000000001,2
1925,6,7.3,6.75,6
1926,4,6.3,6.125,3
1927,4,6.9,6.65,4
1928,5,7.3,6.840000000000001,5
1929,4,7.0,6.325,3
1930,4,6.9,6.65,4
1931,9,7.0,6.133333333333334,6
1932,17,7.1,6.105882352941176,12
1933,14,6.7,5.75,6
1934,11,7.6,6.290909090909091,8
1935,10,6.7,6.26,10
1936,6,7.7,6.566666666666666,4
1937,6,7.5,6.733333333333333,6
1938,3,7.3,6.933333333333334,3
1939,4,7.0,6.3,3
1940,5,7.0,6.68,5
1941,5,6.9,6.58,4
1942,4,7.7,6.45,3
1943,2,7.9,7.65,2
1945,1,6.8,6.8,1
1947,1,6.9,6.9,1
1948,3,8.3,7.5,3
1949,4,7.4,6.4,3
1950,5,7.0,6.779999999999999,5
1951,4,6.5,5.575,2
1952,5,7.7,5.9399999999999995,3
1953,2,5.7,5.6,0
1954,6,6.7,6.216666666666666,4
1955,10,7.3,6.409999999999999,10
1956,8,6.7,5.7,3
1957,15,7.6,6.133333333333334,10
1958,11,6.5,5.554545454545455,5
1959,10,6.6,5.46,3
1960,12,6.7,5.658333333333334,2
1961,6,6.1,5.833333333333333,3
1962,39,6.5,5.233333333333333,7
1963,41,6.3,5.058536585365854,2
1964,66,5.8,5.048484848484848,0
1965,101,5.9,5.050495049504951,0
1966,71,7.7,5.094366197183098,2
1967,80,6.0,5.07625,1
1968,123,7.3,5.099186991869919,2
1969,181,6.1,5.07292817679558,2
1970,228,7.8,4.993421052631579,5
1971,125,6.5,5.1352,3
1972,282,7.3,5.072695035460993,7
1973,212,6.5,4.979716981132076,5
1974,156,5.9,4.966666666666667,0
1975,374,6.3,4.782085561497326,5
1976,167,7.9,4.550898203592815,1
1977,252,7.2,4.552777777777778,2
1978,307,5.7,4.441042345276873,0
1979,213,5.9,4.471830985915493,0
1980,274,6.3,4.447810218978102,1
1981,254,5.7,4.377559055118111,0
1982,213,5.6,4.32206572769953,0
1983,309,6.5,4.441100323624595,2
1984,224,6.1,4.438839285714286,1
1985,122,6.1,4.290983606557377,1
1986,105,6.2,4.258095238095238,1
1987,175,6.0,4.507428571428571,1
1988,111,5.6,4.352252252252252,0
1989,111,6.6,4.404504504504504,1
1990,506,7.8,4.614822134387351,8
1991,296,6.4,4.530405405405405,6
1992,165,7.3,4.48,2
1993,136,6.6,4.603676470588235,2
1994,172,7.1,4.513372093023255,6
1995,285,7.3,4.485263157894737,7
1996,375,7.0,4.547466666666667,6
1997,251,6.7,4.475298804780876,3
1998,250,7.0,4.5056,3
1999,262,6.8,4.506488549618321,4
2000,221,6.4,4.484615384615385,1
2001,163,7.2,4.41717791411043,2
2002,137,6.8,4.4072992700729925,2
2003,168,6.8,4.565476190476191,5
2004,204,6.2,4.445588235294117,2
2005,174,6.9,4.468965517241379,2
2006,237,7.1,4.468354430379747,4
2007,243,6.6,4.512345679012346,4
2008,415,6.5,4.506746987951807,4
2009,303,7.5,4.5646864686468644,7
2010,360,7.1,4.498888888888889,8
2011,243,6.7,4.531687242798354,5
2012,488,7.6,4.535860655737705,8
2013,358,7.2,4.518994413407821,4
2014,408,6.4,4.495343137254902,6
2015,256,6.1,4.435546875,2
2016,297,6.5,4.492592592592592,4
2017,325,7.2,4.477846153846154,7
2018,256,7.0,4.52890625,5
2019,526,6.9,4.494106463878327,11
2020,465,6.6,4.4470967741935485,10
2021,480,7.1,4.479791666666667,7
2022,542,7.0,4.49169741697417,9
2023,860,7.4,4.51046511627907,23
2024,697,7.1,4.404447632711621,7
2025,700,7.4,4.428285714285715,8
2026,272,7.8,4.454779411764706,6
