Model,Fold,n train,n test,RMSE,MAE
Climatology (training mean),1,71,71,0.32554411748042084,0.22015473120412596
Persistence (previous mainshock),1,71,71,0.4305253914417317,0.29014084507042254
Random Forest,1,71,71,0.36021169184430507,0.2473127962136872
Extra Trees,1,71,71,0.3767564846794812,0.26869718309858537
Gradient Boosting,1,71,71,0.38171532101415523,0.26077315441999654
Histogram GB,1,71,71,0.374501150035892,0.28165343370668366
Support Vector Regression,1,71,71,0.3896840055223752,0.2979157085786382
k-Nearest Neighbours,1,71,71,0.3357875265448731,0.2226316157832605
Elastic Net,1,71,71,0.32750452085144477,0.22830223019218715
Ridge Regression,1,71,71,0.3806325311175274,0.25294935523877593
Multilayer Perceptron,1,71,71,1.5458314579456092,1.2557729074076474
LSTM,1,71,71,0.3426388164805891,0.22778622259580628
GRU,1,71,71,0.3516607018880838,0.22790506901613208
1D-CNN,1,71,71,1.0320754337774132,0.8278078457550924
ARIMA,1,71,71,0.32680267109313377,0.2157432465157605
ARIMAX,1,71,71,0.34733459763918545,0.2297456940270004
Climatology (training mean),2,142,71,0.2633501526790671,0.19398928783971378
Persistence (previous mainshock),2,142,71,0.3375554205931687,0.22112676056338026
Random Forest,2,142,71,0.29257847875751064,0.2335488512731747
Extra Trees,2,142,71,0.2931868325476777,0.22796713615022954
Gradient Boosting,2,142,71,0.31816723635576494,0.23375665807293214
Histogram GB,2,142,71,0.3298636963955335,0.2514934275095449
Support Vector Regression,2,142,71,0.38524852701624235,0.2986565008688868
k-Nearest Neighbours,2,142,71,0.2667232479552619,0.20068030390730984
Elastic Net,2,142,71,0.27642875138513756,0.20345762483593663
Ridge Regression,2,142,71,0.31151552992935705,0.22684446613963852
Multilayer Perceptron,2,142,71,0.6121987101657146,0.47495476966942984
LSTM,2,142,71,0.26556082583164153,0.19258348615818346
GRU,2,142,71,0.28901206063241525,0.23292733251051181
1D-CNN,2,142,71,0.8930911008386754,0.7050716793320735
ARIMA,2,142,71,0.26035132518284326,0.18726502832440162
ARIMAX,2,142,71,0.31038337815563816,0.23659060169803464
Climatology (training mean),3,213,71,0.5801568989295232,0.37879389010117037
Persistence (previous mainshock),3,213,71,0.6167840263911408,0.4464788732394366
Random Forest,3,213,71,0.5196676804694608,0.3609365602845924
Extra Trees,3,213,71,0.5177246769838745,0.3607089201877915
Gradient Boosting,3,213,71,0.5298724264652589,0.37063145328863073
Histogram GB,3,213,71,0.5165397795172387,0.3650999416230263
Support Vector Regression,3,213,71,0.5959677597950657,0.4203929873199705
k-Nearest Neighbours,3,213,71,0.547773119304081,0.37358015656736016
Elastic Net,3,213,71,0.5443272715069767,0.35542221909378796
Ridge Regression,3,213,71,0.5385221357620358,0.3572984584037311
Multilayer Perceptron,3,213,71,0.7008177988669009,0.5192804866307804
LSTM,3,213,71,0.5906717170728719,0.3810811461254976
GRU,3,213,71,0.5570057650177572,0.36423789550923447
1D-CNN,3,213,71,0.7979377290242038,0.6679292618564605
ARIMA,3,213,71,0.5828377898028445,0.37869520013327007
ARIMAX,3,213,71,0.5545974311706752,0.3603579999992465
Climatology (training mean),4,284,71,0.512135147440788,0.32117139456457056
Persistence (previous mainshock),4,284,71,0.5792175392255305,0.40563380281690153
Random Forest,4,284,71,0.4453817317537789,0.31757797182229913
Extra Trees,4,284,71,0.46488151855185766,0.32116431924882427
Gradient Boosting,4,284,71,0.4442292729014029,0.337798738191147
Histogram GB,4,284,71,0.49211490780908523,0.3628192285364719
Support Vector Regression,4,284,71,0.6025398211314865,0.40161396541771566
k-Nearest Neighbours,4,284,71,0.5208706642042903,0.34641045419375727
Elastic Net,4,284,71,0.46674459938879936,0.3190068571047126
Ridge Regression,4,284,71,0.4703892268279456,0.33368041172433044
Multilayer Perceptron,4,284,71,0.5856167393961577,0.42666623613210286
LSTM,4,284,71,0.5202321855349114,0.35482395000861533
GRU,4,284,71,0.5156288385924765,0.35695574632416505
1D-CNN,4,284,71,0.8365750069934942,0.5816055252437283
ARIMA,4,284,71,0.4930273597154745,0.3685352771318949
ARIMAX,4,284,71,0.4557116884383816,0.32283018506272343
Climatology (training mean),5,355,71,0.41013794303260576,0.3221106923229518
Persistence (previous mainshock),5,355,71,0.4901853630422323,0.371830985915493
Random Forest,5,355,71,0.38936462642394487,0.3081089225803611
Extra Trees,5,355,71,0.4014921040623508,0.3240211267605619
Gradient Boosting,5,355,71,0.4062896372762796,0.3083417198207824
Histogram GB,5,355,71,0.428573128887476,0.32800066489469515
Support Vector Regression,5,355,71,0.4604643104309701,0.3637086710957326
k-Nearest Neighbours,5,355,71,0.42441423223484903,0.32688090619915183
Elastic Net,5,355,71,0.40949460510301805,0.3156388426796171
Ridge Regression,5,355,71,0.42814406588972675,0.3233679975317058
Multilayer Perceptron,5,355,71,0.5917114502295715,0.4591981129814012
LSTM,5,355,71,0.4014542987782976,0.33798527665077666
GRU,5,355,71,0.41570282022373173,0.3525790628924964
1D-CNN,5,355,71,0.5997508497130353,0.4794313729946844
ARIMA,5,355,71,0.42616069646632787,0.3645163784907801
ARIMAX,5,355,71,0.4068386327143738,0.3142922738462786
