Decade,f,%,M (magnitude),SD,Max,Mdn depth (km),f (M ≥ 6.0)
1900s,5,0.028301352804664063,7.220000000000001,0.31937438845342603,7.6,33.0,5
1910s,12,0.06792324673119375,7.141666666666667,0.4851585182997287,7.9,33.0,12
1920s,35,0.19810946963264844,6.645714285714286,0.6156502335612597,8.3,33.0,32
1930s,84,0.47546272711835624,6.23452380952381,0.6770762886345202,7.7,33.0,62
1940s,25,0.14150676402332032,6.768,0.9745597296557388,8.3,33.0,22
1950s,76,0.43018056263089377,5.9447368421052635,0.8493754155208565,7.7,33.0,45
1960s,720,4.0753948038716254,5.098472222222222,0.3962766897062105,7.7,65.0,21
1970s,2316,13.109186619120393,4.7724956822107085,0.4920525946693858,7.9,35.0,28
1980s,1898,10.743193524650477,4.398946259220232,0.39571898126590743,6.6,50.0,8
1990s,2698,15.271409973396729,4.5336174944403265,0.5061435300288708,7.8,20.0,47
2000s,2265,12.820512820512821,4.492406181015452,0.4873892853864159,7.5,24.0,33
2010s,3517,19.907171562800702,4.5023030992323,0.494029007342307,7.6,22.0,60
2020s,4016,22.731646572706175,4.46043326693227,0.4782186867506787,7.8,19.0,70
