Feature,n,Pearson r,p (r),Spearman ρ,p (ρ),Strength
Energy,535,0.33536378809914547,1.5761530533532872e-15,0.05891661584161218,0.17359584324319674,Medium
x7_mlk,505,0.3110543430075318,8.62062581796935e-13,0.18241218499410383,3.7284450956296825e-05,Medium
Mag_max,535,0.1729849105507698,5.7668039096447296e-05,0.0776256320462265,0.07281409194166215,Small
dM_mlk,505,0.124370602391614,0.005128814618412913,0.1283519756093979,0.0038626862425768086,Small
a_mlk,505,-0.12184147385645286,0.006116267958423967,-0.1918434120425982,1.4193565881042838e-05,Small
T_elaps75,535,0.11436348965555794,0.008103178583009392,0.1270104324042917,0.003252429201017675,Small
std_gr_mlk,504,-0.10948665664801316,0.013922243700220275,-0.12567920681620556,0.004717782156801981,Small
T_elaps65,535,-0.10691564759111803,0.013350592132029823,-0.2231795556595491,1.8281321756092576e-07,Small
b_mlk,505,-0.10539145249448002,0.017830925540598685,-0.18241218499410383,3.7284450956296825e-05,Small
a_lsq,511,-0.09393878567888093,0.03375289412239484,-0.12425631787507814,0.004909961752004155,Negligible
b_lsq,511,-0.08909467718071898,0.04410565010314952,-0.12248388337352915,0.005563584097780159,Negligible
T_elaps6,535,-0.08492084602501448,0.04962549189154302,-0.20879788312499556,1.1046657358377788e-06,Negligible
b_std_mlk,505,-0.08337140040514408,0.061184907637739545,-0.12336201721874505,0.005503947437927347,Negligible
T_elaps7,535,-0.08185040455206247,0.05849728429779563,-0.12711063337090664,0.003227924371982841,Negligible
Dist_std,535,-0.06317813677281332,0.14446749445054963,-0.008906758546838598,0.8371532652715061,Negligible
b_std_lsq,511,-0.06168520503745231,0.16382417032198446,-0.09626093677889185,0.029575155568903923,Negligible
std_gr_lsq,511,0.05923952165637328,0.18121524091574162,0.023295742987542282,0.5993126986591657,Negligible
Dist_wmean,535,-0.03697570744514633,0.39335875496942174,-0.030963959062350947,0.47479773418939497,Negligible
Dist_trend,535,-0.03645411431798341,0.4000714450926828,-0.03401946497037663,0.43230152430572644,Negligible
Dist_mean,535,-0.03271877520808833,0.4501172435221749,-0.04203434804310289,0.33184109387842453,Negligible
beta,535,-0.029830603187430933,0.491123340590157,-0.07055867642753613,0.10305036384762156,Negligible
Dist_min,535,-0.02442062422966798,0.5730171515686113,-0.053797019555862066,0.21411926349923482,Negligible
zvalue,535,0.02184153841002338,0.61420885239701,0.01151214195580713,0.7904990640087575,Negligible
Mag_mean,535,-0.01460223916472543,0.73613291898219,-0.08325453205000508,0.05428931639470433,Negligible
dM_lsq,497,-0.011155255320506518,0.8040793447637294,0.10355883983158222,0.020938764680268507,Negligible
x7_lsq,511,0.0059327952143477525,0.8935722622308446,0.12250110299140607,0.005556874436481204,Negligible
NO,535,0.0007281611716242703,0.9865937565522024,-0.04875096116511928,0.2603158386053735,Negligible
