Model,Folds,M RMSE,SD RMSE,Min RMSE,Max RMSE,M MAE,Mean rank
Random Forest,5,0.4014408418498,0.08603063271704098,0.29257847875751064,0.5196676804694608,0.2934970204348229,4.2
Elastic Net,5,0.40489994964707526,0.10698218405741387,0.27642875138513756,0.5443272715069767,0.2843655547812483,5.0
Extra Trees,5,0.41080832336504836,0.0857848353016448,0.2931868325476777,0.5177246769838745,0.3005117370891985,5.4
ARIMAX,5,0.41497314562365084,0.09583153567317444,0.31038337815563816,0.5545974311706752,0.29276335092665673,6.2
Gradient Boosting,5,0.4160547788025723,0.0784295645048776,0.31816723635576494,0.5298724264652589,0.30226034475869773,6.4
ARIMA,5,0.4178359684521248,0.1284884445771163,0.26035132518284326,0.5828377898028445,0.3029510261192214,6.4
Climatology (training mean),5,0.4182648519124809,0.1300792186996845,0.2633501526790671,0.5801568989295232,0.28724399920650645,5.8
k-Nearest Neighbours,5,0.41911375804867107,0.1194800429347574,0.2667232479552619,0.547773119304081,0.2940366873301679,7.2
LSTM,5,0.42411156873966227,0.13159688000227784,0.26556082583164153,0.5906717170728719,0.29885201630777586,6.6
GRU,5,0.4258020372708929,0.11134821722462339,0.28901206063241525,0.5570057650177572,0.30692102125050796,8.0
Ridge Regression,5,0.42584069790531853,0.08631483903093304,0.31151552992935705,0.5385221357620358,0.2988281378076364,8.6
Histogram GB,5,0.4283185325290451,0.0781708004225687,0.3298636963955335,0.5165397795172387,0.3178133392540844,8.2
Support Vector Regression,5,0.486780884779228,0.10694752304388415,0.38524852701624235,0.6025398211314865,0.3564575666561888,13.6
Persistence (previous mainshock),5,0.49085354813876075,0.11270196221054123,0.3375554205931687,0.6167840263911408,0.3470422535211268,13.6
Multilayer Perceptron,5,0.8072352313207908,0.4154676752400772,0.5856167393961577,1.5458314579456092,0.6271745025642723,15.0
1D-CNN,5,0.8318860240693644,0.1572283956958584,0.5997508497130353,1.0320754337774132,0.6523691370364079,15.8
