Rank,Model,RMSE,95% CI for RMSE,MAE,R²,Bias,% within ±0.3,Skill vs. climatology (%)
1,Random Forest,0.4993493024517736,"[0.418, 0.580]",0.38724168980877294,0.12211168505780456,0.02248833138755574,46.728971962616825,21.359620810119438
2,Extra Trees,0.5012583689996758,"[0.421, 0.582]",0.3909299065420554,0.11538632919727798,0.04786448598130135,46.728971962616825,20.757169990286496
3,Gradient Boosting,0.502767224904181,"[0.423, 0.582]",0.39892431882842466,0.11005269872045265,0.06907202069973524,39.25233644859813,20.279388573200574
4,ARIMAX,0.5098351095543628,"[0.417, 0.602]",0.3845025935391297,0.084855123478918,-0.028746674140187257,49.532710280373834,18.022214354188105
5,Histogram GB,0.510743956612964,"[0.429, 0.593]",0.3971237484362163,0.08158948702555391,0.03272172958734434,43.925233644859816,17.729681825143384
6,Elastic Net,0.5130541765281211,"[0.416, 0.607]",0.37965546882784273,0.07326230553885171,-0.059936717864795076,54.20560747663551,16.983741027719358
7,k-Nearest Neighbours,0.5146177338746988,"[0.425, 0.604]",0.37850841890372744,0.06760514277872498,-0.07177107829303742,55.140186915887845,16.476977904184064
8,Ridge Regression,0.5249849292852257,"[0.436, 0.612]",0.4010083916820656,0.029659750989807,0.0009075518174953255,41.1214953271028,13.077866709742914
9,ARIMA,0.5454651885658582,"[0.437, 0.651]",0.387689649875008,-0.047525133432410716,-0.11125275575543193,57.009345794392516,6.1637200291483785
10,GRU,0.5510071793020456,"[0.446, 0.651]",0.39582302497870264,-0.06891922549703211,-0.1019649056233716,50.467289719626166,4.247258124201137
11,LSTM,0.5597162556675175,"[0.452, 0.663]",0.398981203043775,-0.10297638372722862,-0.11649374880398637,54.20560747663551,1.196451100384266
12,Climatology (training mean),0.5630949702291999,"[0.449, 0.673]",0.3816883570617521,-0.11633275930994258,-0.18177570093457968,60.747663551401864,0.0
13,Support Vector Regression,0.563215845127937,"[0.474, 0.644]",0.41457285483991063,-0.11681207842743202,-0.11144228688213771,52.336448598130836,-0.04293693914221297
14,Multilayer Perceptron,0.6155760032795758,"[0.524, 0.705]",0.4595137431652555,-0.33411644184955036,0.02312549874724666,53.271028037383175,-19.508849912657777
15,1D-CNN,0.6754447543072873,"[0.579, 0.770]",0.5246036246893518,-0.6062385310040235,-0.0666239402637396,39.25233644859813,-43.88528130240614
16,Persistence (previous mainshock),0.7230516844028212,"[0.606, 0.836]",0.5252336448598132,-0.8406408561148866,0.013084112149532713,52.336448598130836,-64.8828130111198
