Rank,Feature,Impurity importance,Permutation importance,SD (permutation),Cumulative impurity %
1,T_elaps65,0.18063188489966053,0.05300258393081212,0.03738667875896465,18.063188489966052
2,Energy,0.08342695997701861,0.02685182582650612,0.014211195830009954,26.40588448766791
3,T_elaps75,0.0389235408666242,0.018520772146811228,0.00943899585532314,30.298238574330334
4,T_elaps7,0.04920769182725289,0.018016638558185312,0.018328849816388056,35.21900775705562
5,beta,0.05244365579758693,0.01260468505329394,0.012074507251863612,40.463373336814314
6,Mag_mean,0.04307758744570171,0.009617184903120196,0.003909753837756836,44.771132081384486
7,dM_mlk,0.03579011191773365,0.007277317148304469,0.007750048395467894,48.350143273157855
8,std_gr_mlk,0.044091989226546974,0.005742973151663539,0.012193738722664002,52.75934219581255
9,dM_lsq,0.032720989132592485,0.004623351383384944,0.004356555301665082,56.0314411090718
10,b_std_lsq,0.030118890129226777,0.0009696335920107768,0.006594895124474521,59.04333012199447
11,zvalue,0.052209472244024654,0.0008906267359437726,0.008248639259954093,64.26427734639694
12,b_mlk,0.025398576405708907,-0.0006250254507699282,0.004664091174788181,66.80413498696782
13,T_elaps6,0.06094205595436246,-0.0010606896557223688,0.005068368580778825,72.89834058240406
14,NO,0.030667138971841035,-0.0013548336683185669,0.007435070280676774,75.96505447958816
15,Mag_max,0.052312245625736,-0.0020977926783670164,0.011729597181675053,81.19627904216176
16,b_lsq,0.015725792948833223,-0.0021870901070086325,0.0038132934587594446,82.76885833704509
17,x7_lsq,0.019059913950850358,-0.0037127256897320827,0.003962495605376015,84.67484973213013
18,a_mlk,0.03651137702288597,-0.00629702960569799,0.008739645735609858,88.32598743441874
19,x7_mlk,0.032897669862161236,-0.006543835506112894,0.006803079501105148,91.61575442063486
20,std_gr_lsq,0.028947238865596383,-0.007287581496328038,0.0046428363077530245,94.51047830719449
21,b_std_mlk,0.03281445929042672,-0.008449662309856786,0.006721506644248035,97.79192423623716
22,a_lsq,0.02208075763762833,-0.010471977994195114,0.005483405129811928,99.99999999999999
